id_cp_interaction,partner_receptor,partner_TF,protein_name_receptor,protein_name_TF,receptor_id,TF_symbol,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class
NA,BMR1B_AVR2A,P0C6A0,NA,ZGLP1_HUMAN,BMR1B_AVR2A,ZGLP1,1,PMID:32054698,LGarciaAlonso,NA,IIA_developmental
NA,BMR1B_AVR2A,Q15797,NA,SMAD1_HUMAN,BMR1B_AVR2A,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1B_AVR2A,Q99717,NA,SMAD5_HUMAN,BMR1B_AVR2A,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1B_AVR2B,O15198,NA,SMAD9_HUMAN,BMR1B_AVR2B,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1B_AVR2B,P0C6A0,NA,ZGLP1_HUMAN,BMR1B_AVR2B,ZGLP1,1,PMID:32054698,LGarciaAlonso,NA,IIA_developmental
NA,BMR1B_AVR2B,Q15797,NA,SMAD1_HUMAN,BMR1B_AVR2B,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1B_AVR2B,Q99717,NA,SMAD5_HUMAN,BMR1B_AVR2B,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,P61073,P40763,CXCR4_HUMAN,STAT3_HUMAN,CXCR4,STAT3,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P61073,P42224,CXCR4_HUMAN,STAT1_HUMAN,CXCR4,STAT1,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P61073,P42226,CXCR4_HUMAN,STAT6_HUMAN,CXCR4,STAT6,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
