Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A6Q8PF96	A0A6Q8PF96_HUMAN	Centrosome and spindle pole-associated protein 1	NA	CSPP1
A0A6Q8PF97	A0A6Q8PF97_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PFA6	A0A6Q8PFA6_HUMAN	Kinesin-like protein	NA	KIF2A
A0A6Q8PFA9	A0A6Q8PFA9_HUMAN	Alpha-galactosidase (EC 3.2.1.-)	NA	GLA
A0A6Q8PFB7	A0A6Q8PFB7_HUMAN	Elongator complex protein 1	NA	ELP1
A0A6Q8PFC6	A0A6Q8PFC6_HUMAN	Glycine amidinotransferase (EC 2.1.4.1) (L-arginine:glycine amidinotransferase)	NA	GATM
A0A6Q8PFC8	A0A6Q8PFC8_HUMAN	IkappaB kinase complex-associated protein	NA	ELP1
A0A6Q8PFD5	A0A6Q8PFD5_HUMAN	Peripheral myelin protein 22	NA	PMP22
A0A6Q8PFE1	A0A6Q8PFE1_HUMAN	Apoptosis-inducing factor 1, mitochondrial	NA	AIFM1
A0A6Q8PFE2	A0A6Q8PFE2_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein)	NA	NKAIN3
A0A6Q8PFE5	A0A6Q8PFE5_HUMAN	Calpastatin (Calpain inhibitor)	NA	CAST
A0A6Q8PFF6	A0A6Q8PFF6_HUMAN	Calpastatin (Calpain inhibitor)	NA	CAST
A0A6Q8PFF7	A0A6Q8PFF7_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PFG0	A0A6Q8PFG0_HUMAN	Phosphoinositide phospholipase C (EC 3.1.4.11)	NA	PLCE1
A0A6Q8PFG6	A0A6Q8PFG6_HUMAN	XK-related protein	NA	XKR8
A0A6Q8PFG8	A0A6Q8PFG8_HUMAN	Protein O-mannose kinase (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)	NA	POMK
A0A6Q8PFH1	A0A6Q8PFH1_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PFH9	A0A6Q8PFH9_HUMAN	Elongator complex protein 1	NA	ELP1
A0A6Q8PFI1	A0A6Q8PFI1_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein)	NA	NKAIN3
A0A6Q8PFI7	A0A6Q8PFI7_HUMAN	E3 ubiquitin-protein ligase (EC 2.3.2.26)	NA	NEDD4L
A0A6Q8PFJ0	A0A6Q8PFJ0_HUMAN	Prelamin-A/C	NA	LMNA
A0A6Q8PFL0	A0A6Q8PFL0_HUMAN	Calpastatin (Calpain inhibitor)	NA	CAST
A0A6Q8PFL9	A0A6Q8PFL9_HUMAN	RING-type domain-containing protein	NA	NA
A0A6Q8PFM4	A0A6Q8PFM4_HUMAN	RNA binding protein fox-1 homolog 1	NA	RBFOX1
A0A6Q8PFM5	A0A6Q8PFM5_HUMAN	Apoptosis-inducing factor 1, mitochondrial	NA	AIFM1
A0A6Q8PFM8	A0A6Q8PFM8_HUMAN	Sodium channel protein	NA	SCN11A
A0A6Q8PFN2	A0A6Q8PFN2_HUMAN	Mucin-2	NA	MUC2
A0A6Q8PFN8	A0A6Q8PFN8_HUMAN	Elongator complex protein 1 (IkappaB kinase complex-associated protein)	NA	ELP1
A0A6Q8PFP2	A0A6Q8PFP2_HUMAN	Protein NDRG1 (N-myc downstream-regulated gene 1 protein)	NA	NDRG1
A0A6Q8PFP4	A0A6Q8PFP4_HUMAN	Protein arginine N-methyltransferase (EC 2.1.1.321)	NA	PRMT7
A0A6Q8PFP9	A0A6Q8PFP9_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein)	NA	NKAIN3
A0A6Q8PFQ2	A0A6Q8PFQ2_HUMAN	Riboflavin transporter	NA	SLC52A3
A0A6Q8PFQ8	A0A6Q8PFQ8_HUMAN	Apoptosis-inducing factor 1, mitochondrial	NA	AIFM1
