Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A0A7C4U6	A0A0A7C4U6_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4U8	A0A0A7C4U8_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4U9	A0A0A7C4U9_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4V0	A0A0A7C4V0_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4V2	A0A0A7C4V2_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4V3	A0A0A7C4V3_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4V4	A0A0A7C4V4_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4V6	A0A0A7C4V6_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4V7	A0A0A7C4V7_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4V8	A0A0A7C4V8_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4V9	A0A0A7C4V9_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4W1	A0A0A7C4W1_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C4W2	A0A0A7C4W2_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4W3	A0A0A7C4W3_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4W4	A0A0A7C4W4_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4W6	A0A0A7C4W6_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4W7	A0A0A7C4W7_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4W8	A0A0A7C4W8_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4W9	A0A0A7C4W9_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C4X0	A0A0A7C4X0_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4X1	A0A0A7C4X1_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4X2	A0A0A7C4X2_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4X3	A0A0A7C4X3_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4X4	A0A0A7C4X4_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4X5	A0A0A7C4X5_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C4X6	A0A0A7C4X6_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4X7	A0A0A7C4X7_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4X8	A0A0A7C4X8_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4X9	A0A0A7C4X9_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4Y0	A0A0A7C4Y0_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C4Y1	A0A0A7C4Y1_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4Y2	A0A0A7C4Y2_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4Y3	A0A0A7C4Y3_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4Y4	A0A0A7C4Y4_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4Y5	A0A0A7C4Y5_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4Y6	A0A0A7C4Y6_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4Y7	A0A0A7C4Y7_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C4Y8	A0A0A7C4Y8_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4Y9	A0A0A7C4Y9_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4Z0	A0A0A7C4Z0_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4Z1	A0A0A7C4Z1_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C4Z2	A0A0A7C4Z2_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4Z3	A0A0A7C4Z3_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4Z4	A0A0A7C4Z4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4Z5	A0A0A7C4Z5_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C4Z6	A0A0A7C4Z6_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C4Z7	A0A0A7C4Z7_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C4Z8	A0A0A7C4Z8_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C4Z9	A0A0A7C4Z9_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C500	A0A0A7C500_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C501	A0A0A7C501_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C502	A0A0A7C502_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C503	A0A0A7C503_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C504	A0A0A7C504_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C505	A0A0A7C505_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C506	A0A0A7C506_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C507	A0A0A7C507_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C508	A0A0A7C508_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C509	A0A0A7C509_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C510	A0A0A7C510_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C511	A0A0A7C511_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C512	A0A0A7C512_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C513	A0A0A7C513_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C514	A0A0A7C514_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C515	A0A0A7C515_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C516	A0A0A7C516_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C517	A0A0A7C517_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C518	A0A0A7C518_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C519	A0A0A7C519_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C520	A0A0A7C520_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C521	A0A0A7C521_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C522	A0A0A7C522_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C523	A0A0A7C523_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C524	A0A0A7C524_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C525	A0A0A7C525_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C526	A0A0A7C526_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C527	A0A0A7C527_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C528	A0A0A7C528_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C529	A0A0A7C529_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C530	A0A0A7C530_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C531	A0A0A7C531_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C532	A0A0A7C532_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C533	A0A0A7C533_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C534	A0A0A7C534_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C535	A0A0A7C535_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C536	A0A0A7C536_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C537	A0A0A7C537_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C538	A0A0A7C538_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C539	A0A0A7C539_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C540	A0A0A7C540_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C541	A0A0A7C541_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C542	A0A0A7C542_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C543	A0A0A7C543_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C544	A0A0A7C544_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C545	A0A0A7C545_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C546	A0A0A7C546_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C547	A0A0A7C547_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C548	A0A0A7C548_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C549	A0A0A7C549_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C550	A0A0A7C550_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C551	A0A0A7C551_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C552	A0A0A7C552_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C553	A0A0A7C553_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C554	A0A0A7C554_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C555	A0A0A7C555_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C556	A0A0A7C556_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C557	A0A0A7C557_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C558	A0A0A7C558_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C559	A0A0A7C559_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C560	A0A0A7C560_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C561	A0A0A7C561_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C562	A0A0A7C562_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C563	A0A0A7C563_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C564	A0A0A7C564_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C565	A0A0A7C565_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C566	A0A0A7C566_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C567	A0A0A7C567_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C568	A0A0A7C568_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C569	A0A0A7C569_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C570	A0A0A7C570_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C571	A0A0A7C571_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C572	A0A0A7C572_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C573	A0A0A7C573_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C574	A0A0A7C574_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C575	A0A0A7C575_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C576	A0A0A7C576_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C577	A0A0A7C577_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C578	A0A0A7C578_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C579	A0A0A7C579_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C580	A0A0A7C580_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C581	A0A0A7C581_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C582	A0A0A7C582_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C583	A0A0A7C583_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C584	A0A0A7C584_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C585	A0A0A7C585_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C586	A0A0A7C586_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C587	A0A0A7C587_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C588	A0A0A7C588_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C589	A0A0A7C589_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C590	A0A0A7C590_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C591	A0A0A7C591_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C592	A0A0A7C592_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C593	A0A0A7C593_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C594	A0A0A7C594_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C595	A0A0A7C595_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C596	A0A0A7C596_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C597	A0A0A7C597_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C598	A0A0A7C598_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C599	A0A0A7C599_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5A0	A0A0A7C5A0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5A1	A0A0A7C5A1_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5A2	A0A0A7C5A2_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5A3	A0A0A7C5A3_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5A4	A0A0A7C5A4_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5A5	A0A0A7C5A5_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C5A6	A0A0A7C5A6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5A7	A0A0A7C5A7_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5A8	A0A0A7C5A8_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5A9	A0A0A7C5A9_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5B0	A0A0A7C5B0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5B1	A0A0A7C5B1_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5B2	A0A0A7C5B2_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C5B3	A0A0A7C5B3_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5B4	A0A0A7C5B4_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5B5	A0A0A7C5B5_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5B6	A0A0A7C5B6_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5B7	A0A0A7C5B7_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5B8	A0A0A7C5B8_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5B9	A0A0A7C5B9_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5C0	A0A0A7C5C0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5C1	A0A0A7C5C1_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5C2	A0A0A7C5C2_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5C3	A0A0A7C5C3_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5C4	A0A0A7C5C4_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5C5	A0A0A7C5C5_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5C6	A0A0A7C5C6_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5C7	A0A0A7C5C7_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5C8	A0A0A7C5C8_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5C9	A0A0A7C5C9_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5D0	A0A0A7C5D0_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5D1	A0A0A7C5D1_HUMAN	MHC class II antigen	NA	HLA-DRB1
A0A0A7C5D2	A0A0A7C5D2_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5D3	A0A0A7C5D3_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5D4	A0A0A7C5D4_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5D5	A0A0A7C5D5_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5D6	A0A0A7C5D6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5D7	A0A0A7C5D7_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5D8	A0A0A7C5D8_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5D9	A0A0A7C5D9_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5E0	A0A0A7C5E0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5E1	A0A0A7C5E1_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5E2	A0A0A7C5E2_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5E3	A0A0A7C5E3_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5E4	A0A0A7C5E4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5E5	A0A0A7C5E5_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5E6	A0A0A7C5E6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5E7	A0A0A7C5E7_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5E8	A0A0A7C5E8_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5E9	A0A0A7C5E9_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5F0	A0A0A7C5F0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5F1	A0A0A7C5F1_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5F2	A0A0A7C5F2_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5F3	A0A0A7C5F3_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5F4	A0A0A7C5F4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5F5	A0A0A7C5F5_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5F6	A0A0A7C5F6_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5F7	A0A0A7C5F7_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5F8	A0A0A7C5F8_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5F9	A0A0A7C5F9_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5G0	A0A0A7C5G0_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5G1	A0A0A7C5G1_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5G2	A0A0A7C5G2_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5G3	A0A0A7C5G3_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5G4	A0A0A7C5G4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5G5	A0A0A7C5G5_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5G6	A0A0A7C5G6_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5G7	A0A0A7C5G7_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5G8	A0A0A7C5G8_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5G9	A0A0A7C5G9_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5H0	A0A0A7C5H0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5H1	A0A0A7C5H1_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5H2	A0A0A7C5H2_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5H3	A0A0A7C5H3_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5H4	A0A0A7C5H4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5H5	A0A0A7C5H5_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5H6	A0A0A7C5H6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5H7	A0A0A7C5H7_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5H8	A0A0A7C5H8_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5H9	A0A0A7C5H9_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5I0	A0A0A7C5I0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5I1	A0A0A7C5I1_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5I2	A0A0A7C5I2_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5I3	A0A0A7C5I3_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5I4	A0A0A7C5I4_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5I5	A0A0A7C5I5_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5I6	A0A0A7C5I6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5I7	A0A0A7C5I7_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5I8	A0A0A7C5I8_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5I9	A0A0A7C5I9_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5J0	A0A0A7C5J0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5J1	A0A0A7C5J1_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5J2	A0A0A7C5J2_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5J3	A0A0A7C5J3_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5J4	A0A0A7C5J4_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5J5	A0A0A7C5J5_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5J6	A0A0A7C5J6_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5J7	A0A0A7C5J7_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5J8	A0A0A7C5J8_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5J9	A0A0A7C5J9_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5K0	A0A0A7C5K0_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5K1	A0A0A7C5K1_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5K2	A0A0A7C5K2_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5K3	A0A0A7C5K3_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5K4	A0A0A7C5K4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5K5	A0A0A7C5K5_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5K6	A0A0A7C5K6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5K7	A0A0A7C5K7_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5K8	A0A0A7C5K8_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5K9	A0A0A7C5K9_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5L0	A0A0A7C5L0_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5L1	A0A0A7C5L1_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5L2	A0A0A7C5L2_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5L3	A0A0A7C5L3_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5L4	A0A0A7C5L4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5L5	A0A0A7C5L5_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5L6	A0A0A7C5L6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5L7	A0A0A7C5L7_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5L8	A0A0A7C5L8_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5L9	A0A0A7C5L9_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5M0	A0A0A7C5M0_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5M1	A0A0A7C5M1_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5M2	A0A0A7C5M2_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5M3	A0A0A7C5M3_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5M4	A0A0A7C5M4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5M5	A0A0A7C5M5_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5M6	A0A0A7C5M6_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5M7	A0A0A7C5M7_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5M8	A0A0A7C5M8_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5M9	A0A0A7C5M9_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5N0	A0A0A7C5N0_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5N1	A0A0A7C5N1_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5N2	A0A0A7C5N2_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5N3	A0A0A7C5N3_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5N4	A0A0A7C5N4_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5N5	A0A0A7C5N5_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5N6	A0A0A7C5N6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5N7	A0A0A7C5N7_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5N8	A0A0A7C5N8_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5N9	A0A0A7C5N9_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5P0	A0A0A7C5P0_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5P1	A0A0A7C5P1_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5P2	A0A0A7C5P2_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5P3	A0A0A7C5P3_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5P4	A0A0A7C5P4_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5P5	A0A0A7C5P5_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5P6	A0A0A7C5P6_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5P7	A0A0A7C5P7_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5P8	A0A0A7C5P8_HUMAN	MHC class I antigen	NA	HLA-B
A0A0A7C5P9	A0A0A7C5P9_HUMAN	MHC class I antigen	NA	HLA-C
A0A0A7C5Q0	A0A0A7C5Q0_HUMAN	MHC class I antigen	NA	HLA-A
A0A0A7C5Q1	A0A0A7C5Q1_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5Q2	A0A0A7C5Q2_HUMAN	MHC class II antigen	NA	HLA-DPB1
A0A0A7C5Q3	A0A0A7C5Q3_HUMAN	MHC class I antigen	NA	HLA-C
